"categoria","pregunta","opcion_1","opcion_2","opcion_3","explicacion_1","explicacion_2","explicacion_3","respuesta_correcta"
"Preposiciones y Falsos Amigos","Propósito (Para ser fuerte)","Jeg trener for å bli sterk.","Jeg trener til å bli sterk.","Jeg trener for bli sterk.","Correcta. 'For å' + infinitivo expresa propósito.","Error: 'Til å' se usa en otros contextos (habilidad/uso), no propósito puro aquí.","Error: Falta la partícula de infinitivo 'å'.","1"
"Preposiciones y Falsos Amigos","Ubicación (En la tele)","Jeg så nyhetene på TV.","Jeg så nyhetene i TV.","Jeg så nyhetene ved TV.","Correcta. Se dice 'på TV', 'på nettet', 'på radio'.","Error: Traducción literal (In TV) incorrecta en noruego.","Error de preposición.","1"
"Determinantes y Posesivos","Posesivo + Sustantivo","Jeg vasker bilen min.","Jeg vasker min bilen.","Jeg vasker min bil.","Correcta. Forma más natural: Sustantivo definido + Posesivo.","Error grave: Doble determinación al inicio ('Min' + 'bilen').","Gramaticalmente posible, pero menos fluido/común que la pospuesta.","1"
"Determinantes y Posesivos","Demostrativos (Esta vs Esa)","Jeg liker denne boka.","Jeg liker den boka.","Jeg liker denne boka der borte.","Correcta. 'Denne' indica cercanía.","Opción válida gramaticalmente pero indica lejanía ('Ese libro').","Error: Contradicción ('Este libro de allá').","1"
"Adjetivo vs Adverbio","Sentirse seguro (Persona)","Sjåføren må føle seg trygg i trafikken.","Sjåføren må føle seg trygt i trafikken.","Sjåføren må føle seg sikkerhet i trafikken.","Correcta. 'Sjåføren' es masculino, el adjetivo es 'trygg'.","Error de concordancia: 'Trygt' es neutro/adverbio.","Error léxico: Sustantivo en lugar de adjetivo.","1"
"Adjetivo vs Adverbio","Es seguro (Situación neutra)","Det er trygt å ta bussen om natten.","Det er trygg å ta bussen om natten.","Det har trygt å ta bussen.","Correcta. Con 'Det er...' usamos el neutro 'trygt'.","Error de género: Falta la -t del neutro.","Error de verbo auxiliar.","1"
"Colocaciones y Vocabulario","Cuidado con los peatones","Bilistene må ta hensyn til fotgjengerne.","Bilistene må ta vare på fotgjengerne.","Bilistene må ta hensyn for fotgjengerne.","Correcta. 'Ta hensyn til' es la expresión para tráfico/consideración.","Error: 'Ta vare på' significa cuidar/proteger (físicamente/emocionalmente).","Error de preposición.","1"
"Colocaciones y Vocabulario","Cumplir las reglas","Alle må overholde trafikkreglene.","Alle må respektere trafikkreglene.","Alle må gjøre trafikkreglene.","Correcta. 'Overholde' es el término preciso para normas/reglas.","Aceptable pero menos preciso: 'Respektere' es más general.","Error de colocación verbal.","1"
"Preposiciones de Lugar","Hielo en la carretera (Superficie)","Det er mye is på veien i dag.","Det er mye is i veien i dag.","Det er mye is over veien i dag.","Correcta. 'På veien' indica sobre la superficie.","Error de matiz: 'I veien' significa que estorba/bloquea el paso.","Error de preposición.","1"
"Preposiciones de Lugar","Un obstáculo (Estorbar)","Flytt bilen din, du står i veien for meg!","Flytt bilen din, du står på veien for meg!","Flytt bilen din, du er veien.","Correcta. 'Stå i veien' significa estar estorbando.","Error: 'På veien' solo indica ubicación física, no molestia.","Error gramatical.","1"
"Preposiciones con Sustantivos","Oportunidad de trabajar","Jeg vil ha mulighet til å jobbe hjemmefra.","Jeg vil ha mulighet for å jobbe hjemmefra.","Jeg vil ha mulighet å jobbe hjemmefra.","Correcta. 'Mulighet til' se usa antes de verbos (infinitivos).","Error común: 'Mulighet for' se usa generalmente con sustantivos.","Error: Omisión de la preposición 'til'.","1"
"Concordancia Definida","El nuevo sistema (Neutro)","Vi må tilpasse oss det nye systemet.","Vi må tilpasse oss den nye systemet.","Vi må tilpasse oss det nytt systemet.","Correcta. 'Systemet' es neutro, requiere 'det'. Adjetivo en forma definida 'nye'.","Error de determinante: 'Den' es para masculino/femenino.","Error de adjetivo: En forma definida determinada, el adjetivo siempre termina en -e.","1"
"Vocabulario y Preposiciones","Viajando desde el trabajo","Jeg tar bussen rett fra jobb.","Jeg tar bussen rett jobbefra.","Jeg tar bussen rett av jobb.","Correcta. Estructura estándar preposición + sustantivo.","Error: 'Jobbefra' es una palabra inexistente (invención lógica pero falsa).","Error de preposición.","1"
